Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações
952;CELERG XPE 120ML;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;7;7;0;R$ 14,65; R$ -   ;Ok
531;CELERGIN C/ 20CP;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;6;6;0;R$ 8,72; R$ -   ;Ok
844;CELERGIN XPE 120ML;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;6;6;0;R$ 9,05; R$ -   ;Ok
1455;CELESTONE ELIXIR 120ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 35,16; R$ -   ;Ok
121;CELESTONE INJ 4 MG/ML 1 AMP 1ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 8,58; R$ -   ;Ok
63868;CELESTRAT  2MG/0,25MG C/20CP;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;3;3;0;R$ 6,64; R$ -   ;Ok
981;CELESTRAT XAROPE 120 ML;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;3;3;0;R$ 8,60; R$ -   ;Ok
1202;CELETIL XAROPE 120 ML;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;2;2;0;R$ 7,44; R$ -   ;Ok
435;CENEVIT 1 G C/ 10CP EFERV;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;60;61;1;R$ 3,49;R$ 3,49;Sobra
70581;CENEVIT 1G TRIPLA AÃ‡ÃƒO C/30CP EF;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP SEM ONE;11;11;0;R$ 22,22; R$ -   ;Ok
76928;CENTRO TABS A-Z C/60 CP;PRINCIPAL > 3 - SIMILARES > SIM_OTC/MIP;3;3;0;R$ 16,05; R$ -   ;Ok
69333;CENTROTABS OMEGA 3 C/60CAPS;PRINCIPAL > 3 - SIMILARES > SIM_LIBERADO;1;1;0;R$ 18,42; R$ -   ;Ok
57465;CENTRUM  MULHER C/30CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 53,43; R$ -   ;Ok
65114;CENTRUM AZ C/60CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 86,76; R$ -   ;Ok
106534;CENTRUM C/30 CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 47,53; R$ -   ;Ok
111531;CENTRUM ENERGIA ENVELOPE 5G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;36;36;0;R$ 0,06; R$ -   ;Ok
71607;CENTRUM ESSENCIAL 30CP (HALEON);PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 17,91; R$ -   ;Ok
70982;CENTRUM GENDER SELECT MUL C/30CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 74,36; R$ -   ;Ok
57466;CENTRUM MULHER C/60CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 100,37; R$ -   ;Ok
102935;CEPACOL MENTA ICE LEV500 PAG 350ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > ANTISSEPTICO BUCAL;2;2;0;R$ 10,94; R$ -   ;Ok
59391;CERA HILLO ORTODONTICA 05UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > ANTISSEPTICO BUCAL;2;2;0;R$ 4,89; R$ -   ;Ok
61789;CERA ORT DENTALCLEAN 5UNDS;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;3;3;0;R$ 8,51; R$ -   ;Ok
57559;CERA VEET DEPIL FACIAL PELE NORM C/12;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;1;1;0;R$ 14,28; R$ -   ;Ok
71171;CERA VEET DEPIL MEN PELE NORMAL 200ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;2;2;0;R$ 34,84; R$ -   ;Ok
57563;CERA VEET DEPIL PELE DELICADA 100ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;3;3;0;R$ 20,49; R$ -   ;Ok
102972;CERAVE ACNE CONTROL CUIDADO DIARIO GEL 40G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DERMOCOSMETICOS;1;1;0;R$ 72,46; R$ -   ;Ok
102367;CERAVE ESPUMA CREMOSA  LIMPEZA 60G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > DERMOCOSMETICOS;3;3;0;R$ 31,52; R$ -   ;Ok
1844;CERAZETTE C/ 28CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.06 - ANTICONCEP PROP;2;2;0;R$ 36,67; R$ -   ;Ok
57063;CERAZETTE C/ 84CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.06 - ANTICONCEP PROP;1;1;0;R$ 93,18; R$ -   ;Ok
543;CERUMIN GTS 8ML;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 15,46; R$ -   ;Ok
1620;CETOBETA CR 30G;PRINCIPAL > 3 - SIMILARES > SIM ANTIMI ONE;2;2;0;R$ 9,50; R$ -   ;Ok
1495;CETOBETA POM 30G;PRINCIPAL > 3 - SIMILARES > SIM ANTIMI ONE;2;2;0;R$ 9,50; R$ -   ;Ok
73392;CETOCONAZOL 200MG C/10CP(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 8,70; R$ -   ;Ok
73667;CETOCONAZOL 200MG C/30CP(CIM);PRINCIPAL > 2 - GENÉRICOS > GEN RX;1;1;0;R$ 9,18; R$ -   ;Ok
73747;CETOCONAZOL 200MG C/30CP(TEU);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 12,87; R$ -   ;Ok
73338;CETOCONAZOL CR 30G(CIM);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;1;1;0;R$ 4,14; R$ -   ;Ok
73288;CETOCONAZOL CR 30G(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP;2;2;0;R$ 7,50; R$ -   ;Ok
