Cod Int;Descri��o;Classifica��o;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observa��es;
57508;CR BARB BOZZANO ALOE VERA 65G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CERAS E ESPUMAS;6;6;0;R$ 7,23; R$ -   ;Ok;
57509;CR BARB BOZZANO MENT 65G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CERAS E ESPUMAS;6;6;0;R$ 6,90; R$ -   ;Ok;
61914;CR CICATRICURE DIURNO FPS30 50G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > TRATAMENTO FACIAL;3;3;0;R$ 44,53; R$ -   ;Ok;
62726;CR CICATRICURE MATERNIT ESTRIAS 250ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > TRATAMENTO FACIAL;2;3;1;R$ 51,55;R$ 51,55;Sobra;
62725;CR CORP CICATRICURE ANTIESTRIAS 250ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > HIDRATANTES;2;2;0;R$ 28,20; R$ -   ;Ok;
63472;CR DENT COLGATE  NAT. EXTRACTS PURIFIC 90G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;2;2;0;R$ 9,42; R$ -   ;Ok;
65431;CR DENT COLGATE EXT CARVAO 140G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;2;2;0;R$ 11,92; R$ -   ;Ok;
61158;CR DENT COLGATE LUM. WHITE BRILLIANT 70G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;2;2;0;R$ 5,65; R$ -   ;Ok;
64202;CR DENT COLGATE LUM. WHITE CARV. ATV 70G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;3;3;0;R$ 5,04; R$ -   ;Ok;
65744;CR DENT COLGATE LUM. WHITE CARVAO AT 140G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;3;3;0;R$ 11,30; R$ -   ;Ok;
57523;CR DENT COLGATE MAX. PROT ANTICARIES 180G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;3;3;0;R$ 8,52; R$ -   ;Ok;
56952;CR DENT COLGATE MAX. PROT ANTICARIES 90G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;4;4;0;R$ 4,87; R$ -   ;Ok;
72760;CR DENT COLGATE MAX. PROT NEUTRACUCAR 70G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;1;1;0;R$ 5,45; R$ -   ;Ok;
